City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Faanui,PF,2022-07-16 02:16:05,-16.4833,-151.75,76.41,71,10,23.67,light rain,0.0,0.0
1,Nishihara,JP,2022-07-16 02:16:05,26.1842,127.7558,87.85,81,100,12.66,overcast clouds,0.0,0.0
2,Albany,US,2022-07-16 02:16:05,42.6001,-73.9662,70.45,70,64,2.86,broken clouds,0.0,0.0
3,Cape Town,ZA,2022-07-16 02:16:06,-33.9258,18.4232,59.38,84,39,3.44,fog,0.0,0.0
4,Antofagasta,CL,2022-07-16 02:16:06,-23.65,-70.4,54.68,81,1,5.73,clear sky,0.0,0.0
5,Mataura,NZ,2022-07-16 02:16:06,-46.1927,168.8643,43.72,77,82,5.39,broken clouds,0.0,0.0
6,Itaobim,BR,2022-07-16 02:16:07,-16.5667,-41.8333,64.65,75,86,2.75,overcast clouds,0.0,0.0
7,Teguise,ES,2022-07-16 02:16:07,29.0605,-13.564,68.22,78,0,16.11,clear sky,0.0,0.0
8,Kajaani,FI,2022-07-16 02:16:07,64.2273,27.7285,55.45,88,0,2.3,clear sky,0.0,0.0
9,Severo-Kurilsk,RU,2022-07-16 02:16:08,50.6789,156.125,56.91,89,86,6.51,overcast clouds,0.0,0.0
10,Hobart,AU,2022-07-16 02:11:44,-42.8794,147.3294,52.27,78,100,6.91,light rain,0.0,0.0
11,Hermanus,ZA,2022-07-16 02:16:08,-34.4187,19.2345,52.81,74,80,8.1,broken clouds,0.0,0.0
12,Touros,BR,2022-07-16 02:11:44,-5.1989,-35.4608,73.89,90,4,12.5,clear sky,0.0,0.0
13,Puerto Ayora,EC,2022-07-16 02:15:38,-0.7393,-90.3518,69.55,93,99,5.01,overcast clouds,0.0,0.0
14,Ushuaia,AR,2022-07-16 02:11:24,-54.8,-68.3,37.06,52,20,16.11,few clouds,0.0,0.0
15,Rikitea,PF,2022-07-16 02:16:09,-23.1203,-134.9692,67.68,87,100,13.24,moderate rain,0.0,0.0
16,Khatanga,RU,2022-07-16 02:12:35,71.9667,102.5,62.92,44,97,4.29,overcast clouds,0.0,0.0
17,Boden,SE,2022-07-16 02:16:09,65.8252,21.6886,55.4,85,100,4.36,overcast clouds,0.0,0.0
18,Rancho Palos Verdes,US,2022-07-16 02:16:09,33.7445,-118.387,81.09,87,20,13.8,few clouds,0.0,0.0
19,Astorga,BR,2022-07-16 02:16:10,-23.2325,-51.6656,65.14,47,89,5.5,overcast clouds,0.0,0.0
20,Lompoc,US,2022-07-16 02:16:06,34.6391,-120.4579,66.58,80,0,12.66,clear sky,0.0,0.0
21,Woodward,US,2022-07-16 02:16:10,36.4337,-99.3904,92.43,27,0,12.66,clear sky,0.0,0.0
22,Punta Arenas,CL,2022-07-16 02:15:07,-53.15,-70.9167,24.91,93,40,11.5,scattered clouds,0.0,0.0
23,Shache,CN,2022-07-16 02:16:09,38.4167,77.2406,77.41,38,41,6.29,scattered clouds,0.0,0.0
24,Kichera,RU,2022-07-16 02:16:11,55.9375,110.0997,58.3,94,100,2.62,light rain,0.0,0.0
25,Duiwelskloof,ZA,2022-07-16 02:16:11,-23.6934,30.14,53.06,80,67,1.95,broken clouds,0.0,0.0
26,Bambous Virieux,MU,2022-07-16 02:16:11,-20.3428,57.7575,70.21,83,75,11.5,light rain,0.0,0.0
27,Polonnaruwa,LK,2022-07-16 02:16:12,7.9333,81.0,82.9,60,81,12.82,broken clouds,0.0,0.0
28,Clyde River,CA,2022-07-16 02:16:12,70.4692,-68.5914,50.23,53,0,13.8,clear sky,0.0,0.0
29,Thompson,CA,2022-07-16 02:14:47,55.7435,-97.8558,74.44,40,99,1.25,overcast clouds,0.0,0.0
30,Castro,BR,2022-07-16 02:16:12,-24.7911,-50.0119,61.21,66,100,5.03,overcast clouds,0.0,0.0
31,Campbell River,CA,2022-07-16 02:16:13,50.0163,-125.2446,64.45,82,75,11.5,broken clouds,0.0,0.0
32,Martapura,ID,2022-07-16 02:16:13,-3.4167,114.85,86.09,74,20,3.44,few clouds,0.0,0.0
33,Alta Floresta,BR,2022-07-16 02:16:13,-9.8756,-56.0861,80.24,43,73,2.28,broken clouds,0.0,0.0
34,Hamada,JP,2022-07-16 02:16:14,34.8833,132.0833,79.52,75,44,4.52,scattered clouds,0.0,0.0
35,Gladstone,AU,2022-07-16 02:16:14,-23.85,151.25,71.53,46,40,13.8,scattered clouds,0.0,0.0
36,Butaritari,KI,2022-07-16 02:16:14,3.0707,172.7902,80.19,83,100,14.88,moderate rain,0.0,0.0
37,Arraial Do Cabo,BR,2022-07-16 02:16:15,-22.9661,-42.0278,71.01,83,69,26.91,broken clouds,0.0,0.0
38,Hereford,GB,2022-07-16 02:16:15,52.0568,-2.7148,56.5,90,93,3.13,overcast clouds,0.0,0.0
39,Yaan,NG,2022-07-16 02:16:15,7.3833,8.5667,71.37,96,100,7.05,overcast clouds,0.0,0.0
40,Ilulissat,GL,2022-07-16 02:16:16,69.2167,-51.1,39.22,100,100,3.44,fog,0.0,0.0
41,Cabo San Lucas,MX,2022-07-16 02:16:16,22.8909,-109.9124,92.5,22,0,8.05,clear sky,0.0,0.0
42,Kirakira,SB,2022-07-16 02:16:16,-10.4544,161.9205,84.33,70,96,12.26,overcast clouds,0.0,0.0
43,Yar-Sale,RU,2022-07-16 02:16:16,66.8333,70.8333,61.74,53,9,8.99,clear sky,0.0,0.0
44,Mumford,GH,2022-07-16 02:16:17,5.2618,-0.759,74.75,90,100,11.41,light rain,0.0,0.0
45,Hithadhoo,MV,2022-07-16 02:16:17,-0.6,73.0833,83.17,75,64,13.58,broken clouds,0.0,0.0
46,Panzhihua,CN,2022-07-16 02:16:17,26.5851,101.7128,84.43,58,94,0.69,overcast clouds,0.0,0.0
47,Quime,BO,2022-07-16 02:16:18,-16.9833,-67.2167,46.96,57,100,1.61,overcast clouds,0.0,0.0
48,Alexandria,EG,2022-07-16 02:16:18,31.2156,29.9553,75.83,73,0,12.12,clear sky,0.0,0.0
49,Vaini,TO,2022-07-16 02:11:25,-21.2,-175.2,80.76,89,20,9.22,few clouds,0.0,0.0
50,Gizo,SB,2022-07-16 02:16:18,-8.103,156.8419,82.69,76,76,15.23,light rain,0.0,0.0
51,Ribera,IT,2022-07-16 02:16:19,37.4984,13.2642,75.65,46,0,3.8,clear sky,0.0,0.0
52,Bredasdorp,ZA,2022-07-16 02:16:19,-34.5322,20.0403,50.32,88,95,4.14,overcast clouds,0.0,0.0
53,Mar Del Plata,AR,2022-07-16 02:16:19,-38.0023,-57.5575,50.88,96,100,13.8,light intensity drizzle,0.0,0.0
54,Bethel,US,2022-07-16 02:16:20,41.3712,-73.414,71.96,75,21,2.68,few clouds,0.0,0.0
55,Bluff,NZ,2022-07-16 02:16:20,-46.6,168.3333,47.26,75,95,22.93,overcast clouds,0.0,0.0
56,Hilo,US,2022-07-16 02:16:20,19.7297,-155.09,91.27,92,100,8.05,light rain,0.0,0.0
57,East London,ZA,2022-07-16 02:13:39,-33.0153,27.9116,58.05,71,55,9.37,broken clouds,0.0,0.0
58,Portland,US,2022-07-16 02:14:29,45.5234,-122.6762,84.99,42,20,8.05,few clouds,0.0,0.0
59,Tazovskiy,RU,2022-07-16 02:16:21,67.4667,78.7,57.43,61,8,10.65,clear sky,0.0,0.0
60,Wuwei,CN,2022-07-16 02:16:21,37.9281,102.6414,65.68,58,100,6.98,overcast clouds,0.0,0.0
61,Busselton,AU,2022-07-16 02:16:22,-33.65,115.3333,59.36,69,100,6.13,overcast clouds,0.0,0.0
62,Port Macquarie,AU,2022-07-16 02:15:46,-31.4333,152.9167,64.89,53,100,7.09,overcast clouds,0.0,0.0
63,Torbay,CA,2022-07-16 02:16:22,47.6666,-52.7314,62.89,93,75,10.36,broken clouds,0.0,0.0
64,Oussouye,SN,2022-07-16 02:16:23,12.485,-16.5469,79.43,84,86,8.14,overcast clouds,0.0,0.0
65,Lagoa,PT,2022-07-16 02:16:23,39.05,-27.9833,68.79,92,0,12.21,clear sky,0.0,0.0
66,Avarua,CK,2022-07-16 02:12:28,-21.2078,-159.775,77.05,65,75,16.11,light rain,0.0,0.0
67,Sunrise Manor,US,2022-07-16 02:16:23,36.2111,-115.0731,105.89,19,0,10.36,thunderstorm,0.0,0.0
68,Chodavaram,IN,2022-07-16 02:16:24,17.8333,82.95,80.44,94,100,3.6,overcast clouds,0.0,0.0
69,Hvide Sande,DK,2022-07-16 02:16:24,56.0045,8.1294,53.1,71,27,25.97,scattered clouds,0.0,0.0
70,Sao Filipe,CV,2022-07-16 02:16:24,14.8961,-24.4956,74.43,83,100,5.03,overcast clouds,0.0,0.0
71,San Cristobal,VE,2022-07-16 02:16:25,7.7669,-72.225,71.78,98,41,2.48,scattered clouds,0.0,0.0
72,Jamestown,US,2022-07-16 02:13:20,42.097,-79.2353,63.99,68,100,1.25,overcast clouds,0.0,0.0
